created_at,full_text,hashtags,user_mentions
tue jun 02 15:35:38 +0000 2020, rt fast poll day what one word would use describe trump this poll ends tonight please vote retwe…,"poll,trump",corporatepiggie
tue jun 02 15:35:38 +0000 2020, rt i'm no pope but i don't think bible suppose holding trump bunkerboy dcblackout https …,"trump,bunkerboy,dcblackout",mrfarmahini
tue jun 02 15:35:38 +0000 2020, rt i'm no pope but i don't think bible suppose holding trump bunkerboy dcblackout https …,"trump,bunkerboy,dcblackout",mrfarmahini
tue jun 02 15:35:39 +0000 2020, rt quando fascisti sono difficoltà tirano fuori la bibbia e il rosario 🤬 2giugno2020 blakelivesmatter …,"2giugno2020,blakelivesmatter",eugeniocardi
tue jun 02 15:35:39 +0000 2020, as ethnic minority i don't see trump racist bigoted,trump,iamtophertwo
tue jun 02 15:35:40 +0000 2020, 1 anonymous filtró información que asegura una relación entre donaldtrump jeffrey epstein líder de una fuerte…,donaldtrump,
tue jun 02 15:35:41 +0000 2020, rt taylorswift arremete contra el presidente donaldtrump en las redes vía 📸 👉 …,"taylorswift,donaldtrump","telemundo,latinxnow,taylorswift13"
tue jun 02 15:35:42 +0000 2020, rt “what i harvest it’s power am i right nothing happening!” trump trumpresignnow trump …,"trumpresignnow,trump",nycanarchy
tue jun 02 15:35:42 +0000 2020, rt “what i harvest it’s power am i right nothing happening!” trump trumpresignnow trump …,"trumpresignnow,trump",nycanarchy
tue jun 02 15:35:43 +0000 2020, rt trump anomymous protests2020 fucking child molester,"trump,anomymous,protests2020",trj51852294
tue jun 02 15:35:44 +0000 2020, donaldtrump dificil mi contraseña anonymous,"donaldtrump,anonymous",
tue jun 02 15:35:44 +0000 2020, rt yes! gets does rest democratic leadership trump not leaving office peacefully t…,trump,"deetwocents,kamalaharris"
tue jun 02 15:35:45 +0000 2020, rt turns wasn’t actually bible trumpdictatorship trump gethimout trumpout2020 trumpresignnow htt…,"trumpdictatorship,trump,gethimout,trumpout2020,trumpresignnow",xenopredator
tue jun 02 15:35:45 +0000 2020, rt turns wasn’t actually bible trumpdictatorship trump gethimout trumpout2020 trumpresignnow htt…,"trumpdictatorship,trump,gethimout,trumpout2020,trumpresignnow",xenopredator
tue jun 02 15:35:45 +0000 2020, rt turns wasn’t actually bible trumpdictatorship trump gethimout trumpout2020 trumpresignnow htt…,"trumpdictatorship,trump,gethimout,trumpout2020,trumpresignnow",xenopredator
tue jun 02 15:35:45 +0000 2020, rt turns wasn’t actually bible trumpdictatorship trump gethimout trumpout2020 trumpresignnow htt…,"trumpdictatorship,trump,gethimout,trumpout2020,trumpresignnow",xenopredator
tue jun 02 15:35:45 +0000 2020, rt this indianapolis this impd anonymous anonymus blacklivesmatter donaldtrump georgefloyd icantbreath prot…,"anonymous,anonymus,blacklivesmatter,donaldtrump,georgefloyd,icantbreath",anonnotices2020
tue jun 02 15:35:45 +0000 2020, rt this indianapolis this impd anonymous anonymus blacklivesmatter donaldtrump georgefloyd icantbreath prot…,"anonymous,anonymus,blacklivesmatter,donaldtrump,georgefloyd,icantbreath",anonnotices2020
