words,sentiment_coeff
amp,1.6110118189257197
voting,1.9333083327805658
trump,-1.1497555554547656
2020_election,2.0752561247120025
vote,1.1163015886122687
reach,3.408641200836771
rt,-1.2681765794273943
icymi,3.0001103805836205
far_right,1.4576181514248425
blocked,3.603326352964162
us,1.368031616667552
director,1.6303225379122654
national,1.218178990544329
holy_shit,2.2927270131529034
watch,2.3838557064475663
votebluetosaveamerica_votebluetoendthisnightmare,1.6296563896964225
oh,1.2640853882441414
mean,2.15705152554785
said,2.4295148800948168
start,3.0147806221308833
something,2.657383487691997
talk,2.155147458675677
making,3.1653240134541316
face,1.4935742926586424
da,-1.4441328655208512
whole,2.995263306296725
song,1.6013449128085602
l,-1.2356567771885476
prot,1.5128278253186398
primary,1.6114408234863733
june,1.4560272510494645
30,-1.2929766897118384
votebluetosaveamerica,1.289712499106423
voteoutthegop,-1.1850406873692503
group,1.0861831565019449
behind,2.9117274202021184
effort,3.0454427274540543
change,1.8615612676821836
says,2.260265450177636
received,3.0044395491488523
wave,3.0284742801580764
joebiden,1.2135215479273136
black_community,1.9295210294327594
needs_stand,1.3541183418511153
see,2.677450115771719
historical,2.003742662730467
turnout,2.0302202017468267
bla,-1.1392877398631487
including,2.220483485399684
tha,2.6459589352038844
invoke,1.963388631341041
current,2.830692428662234
georgefloyd,-1.423347427338804
win,1.58502593542063
slave,2.133862688467711
full,2.757598993891762
berniesanders,-1.5364318123104228
speaking,3.3396507990680337
shown,3.384366319477198
joe_biden,1.246322149371618
qu,-1.7607227748378533
mayoroflondon,2.0839385732445055
colour,2.0145366253955035
state,2.28194548336487
right_wing,1.11748329497116
extremists,1.220474975363531
aka,1.3910326368523445
notmypresident,1.2685803253541654
barackobama,1.403093931914458
resist,1.3697630685779865
way,3.04192217174449
hooligans,-1.0522598201387956
racists,2.1733633701727095
media,2.1602528597725934
labour,1.8578091504916374
19,1.4414560379723582
cw_1,-1.1072869150127982
1500,-1.1308899492054671
square,1.155539892409651
nycprotests_georgefloydprotests,1.1006308565944098
blacklivesmatternyc_nycscannerduty,-1.155680610236053
bought,1.6131076216697469
coffee,1.6632769442212956
ko,-1.2232228757333339
fi,-1.3305033533878088
good,2.7422696911073077
z,-1.1538736779823575
b,1.1320252245846711
se,-1.6708726369206108
smith,-1.5123128882116428
no,-1.0374910079487902
co,-1.7727016334759413
je,-1.4439932747010589
ok,1.3606899934137553
dress,3.730753240062384
disgusting,2.705355198160771
video,-1.3600406455816054
white_woman,3.9141973643107177
black_men,1.9316248549011683
feet,3.092091120288925
white,1.5155701664304124
living,3.3230321771266915
texas,-1.2786909705286063
traffic,2.759559319253158
15,-1.209374412050916
miles,-1.6708455335714585
east,-1.3494835290044858
witnessing,2.5122783267922384
protest,1.4467011868250033
yet,3.0100334851418675
response,2.5930046719792768
man,1.3588501021380068
terrorist,1.6173875003039706
marxist,2.2391109745949045
organisation,-1.476395008407408
politics,2.15635838897849
place,1.6182619525433453
feeling,4.234002690062771
pretty,3.241574409348321
dave,2.52950778262293
tells,2.1210804346342482
everything,2.987658586416258
need_know,2.3828660073234103
another,2.845974354740138
owned,2.2757246489818588
looted,1.8493792022942526
road,1.1812381926949969
blackl,2.006568945481659
no_longer,2.4275981612675075
call,2.319613760724761
anti,-1.1025116220226636
2,1.125319294595345
planned,3.118377501899436
psychopath,2.5426921271492473
gates,-1.5990685995748173
et,-1.412123437781052
al,-1.585553707082164
vaccines,-1.4353590779374092
ca,-1.2829424041476627
